UniqueCount	AmbigCount
0	17
0	5
0	2569
0	15
0	3
0	1
0	0
0	11
0	11
0	0
0	0
0	0
0	0
0	0
1	375
0	17
0	152
0	20
0	15
0	342
4	28
0	127
0	16
0	24
50	268
0	14
0	63
0	78
0	0
0	1
0	5
3	2942
0	343
1	833
0	734
0	790
0	247
58	552
0	232
0	2
0	1
0	3
0	9
0	651
0	9
0	20
0	44
4	36
0	13
0	16
10	24
0	177
0	135
0	142
0	113
0	117
0	102
1	40
0	116
0	102
1	32
0	30
0	3
3	6
0	27
0	69
2	16
0	0
0	3
0	1
0	145
1	17
0	0
0	17
24	22
34	24
7	1041
0	17
0	17
0	68
0	20
0	0
0	154
0	41
0	13
0	16
0	2
0	1
5	35930
1310	71122
23	283730
116	3
8	57915
0	4270
4866	67378
4	75828
0	0
0	0
6	770
0	28
0	0
0	1
0	165
0	155
0	165
0	157
0	1
0	12
3	12
0	16
0	3
3	6
0	3
0	9
0	9
4	6
0	7
0	4
0	7
3	74
1	4
0	1
0	70
8	23
0	23
0	2
0	9
0	30
181	84
2	39
0	30
0	39
0	55
0	36
0	91
0	45
0	60
0	38
1	30
7	32
2	15
4	19
0	32
0	17
0	25
0	1302
0	0
0	0
4	106
1	14
3	3
0	3
0	1
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
8	1118
8	2103
65	3133
2	2
0	463
27	103
28	196
0	198
7	57
3	99
29	17
3	433
7	440
0	406
4	59
38	113
0	3
0	3
0	3
247	0
2	2202
86	2113
77	2117
8	1708
0	38307
0	28587
5	39284
0	39284
0	278
0	1
174	10518
0	10520
3	62
0	350
8	502
18	307
2	125
17	549
0	1250
282	3699
0	810
1	42
0	142
0	42
6	2
0	23
0	27
0	0
74	238
3	538
1	469
0	520
0	477
63	497
32	558
0	509
0	189
3	413
0	139
1	98
0	99
0	48
1	55
0	46
0	35
0	13
1	15
2	7
1	73
0	0
4	0
13	0
4	0
640	0
5	177
15	629
3	1171
0	1171
21	687
2	284
0	92
0	93
0	385
1	530
1	275
1	291
0	1
0	1
0	0
7	5720
0	5482
0	5583
119	3529
5	3424
0	1878
0	1236
0	620
0	620
0	32
2	28
23	79
0	40
0	30
10	1
0	1678
0	1694
0	1567
0	1104
0	1204
0	992
0	1028
7	335
0	900
0	682
0	341
0	412
0	491
0	440
1	449
1	100
0	237
0	225
2	266
0	85
0	130
0	0
0	21
0	19
0	25
0	25
0	6
0	23
0	0
0	8
5	1016
38	1000
5	791
0	643
2	44
2	115
0	139
8	41
48	177
1	79
20	60
0	56
0	5
0	0
4	577
2	324
1	229
0	390
3	425
0	1557
0	2093
0	2092
0	1684
0	1381
0	2092
0	734
0	1933
0	1688
26	1988
3	1461
0	1674
0	2092
0	1725
0	1590
0	1737
0	1836
0	838
0	596
2	598
0	1467
0	597
0	812
0	604
0	382
0	476
0	707
0	167
4	268
0	638
0	515
0	472
0	588
0	512
0	512
0	97
0	63
0	333
0	399
0	355
5	310
0	330
0	333
0	234
0	183
0	184
0	206
0	68
0	87
2	1
0	0
2	0
0	299
453	393
2	148
9	0
0	1455
35	1506
0	1115
0	429
0	421
3	317
0	136
7	122
0	0
0	5
0	10
0	12
0	12
0	12
0	3
0	3
0	5
1	0
1	3
0	2606
24	2557
5	2559
1	2597
6	746
0	168
0	0
227	3519
1	3906
44	2744
4	4330
0	6129
1	4229
2	3325
1	5017
0	4773
0	2686
0	2968
0	1182
7	1101
5	721
1	1058
0	1378
40	346
2	702
12	231
4	387
0	248
0	571
12	606
0	89
0	81
0	588
0	612
0	246
0	1945
0	1189
32	1767
20	633
1	1081
2	572
0	0
19	413
10	2225
4	2340
0	2498
0	1540
14	1010
33	0
2	0
1	13
1	12
0	11
0	11
0	278
3	1588
43	1804
0	118
56	1078
0	94
4	29
11	1269
83	1194
0	328
27	760
87	651
0	86
0	72
0	1785
0	1779
0	1652
0	1652
5	113
2	363
4	337
0	0
0	0
1	0
263	2856
11	2163
0	1006
603	836
6	1360
51	4737
0	0
135	0
195	0
0	354
0	362
0	348
0	361
3	361
0	344
0	356
6	750
0	23
0	334
0	35
0	306
0	45
0	23
0	38
0	359
0	169
0	21
0	332
0	304
3	8
1	10
0	319
1	28
3	15
0	20
0	55
0	132
0	97
2	195
0	133
0	109
0	28
0	2
2	26
0	27
0	24
0	20
0	22
0	21
1	10
0	9
120	2280
0	2263
0	1842
0	2115
0	1955
0	1962
0	1967
0	1965
0	534
7	0
4	364
0	1996
0	1972
10	731
10	1105
0	56
0	13
0	26
0	2036
0	748
8	1773
0	1900
0	1823
0	1934
0	1847
0	1896
0	1923
0	1906
16	338
0	471
0	282
0	183
0	528
0	243
0	288
0	423
2	356
3	229
3	100
0	63
1	65
40	2428
0	0
5	147
0	0
0	0
0	333
0	340
48	1437
0	134
0	269
0	186
0	6287
1	6216
23	6039
15	3153
0	365
1	1587
3	831
0	600
0	1176
0	783
1	550
2	947
21	1365
0	1100
0	1064
9	660
4	40
17	10231
0	9666
0	10547
35	2204
0	3825
2	2251
0	2387
0	1577
0	167
0	672
1	0
0	0
0	0
1	0
0	0
0	102
0	100
0	45
0	46
6	29
0	14
0	1193
0	1706
13	790
0	686
0	103
7	1065
0	677
0	89
53	925
22	115
1	20
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
